Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
3715070,BOSTON,03-Jan-2014,4:50 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Entering traffic lane,V1:Eastbound ,V1: Collision with light pole or other post/support ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Dark - roadway not lighted,Snow,,CAMBRIDGE STREET Rte UNKNOW E / MASSACHUSETTS TURNPIKE,,,,,230416.02054,900716.74988
3723052,BOSTON,03-Jan-2014,9:30 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,"Blowing sand, snow",,GALLIVAN BOULEVARD Rte UNKNOW / NEPONSET AVENUE,,,POPE JOHN PAUL II PARK ENTRANCEW,,237775.37071,892890.04926
3713821,BOSTON,03-Jan-2014,9:40 AM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Bus (seats for more than 15 people, including driver)",Slush,Daylight,Clear,,GALLIVAN BOULEVARD / DORCHESTER AVENUE,,,,,235804.40623,892252.56266
3763234,BOSTON (DORCHESTER),03-Jan-2014,7:18 PM,Not Reported,4,0,0,Not reported,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Parked / V4:Parked,V1:Not reported / V2:Not reported / V3:Not reported / V4:Not reported ,V1: Collision with parked motor vehicle / V2: Not reported / V3: Not reported / V4: Not reported ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car / V4:Passenger car",Not reported,Not reported,Not Reported,,343 PARK STREET,,,,,235650.37563,894113.79072
3716840,BOSTON,03-Jan-2014,10:05 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Other ,V1: Passenger car,Ice,Dark - lighted roadway,Cloudy,,MASSACHUSETTS TURNPIKE Rte 90 W / TED WILLIAMS TUNNEL,,,D-RAMP,,239051.40276,900924.24386
3720509,BOSTON,04-Jan-2014,00:00 AM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Dark - lighted roadway,Clear,,LEVERETT CIRCLE Rte UNKNOW / NASHUA STREET,,,,,235565.47067,901894.54974
3721043,BOSTON (DORCHESTER),04-Jan-2014,8:30 AM,Non-fatal injury,2,2,0,Head-on,V1: Travelling straight ahead / V2:Backing,V1:Northbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Tractor/semi-trailer",Snow,Daylight,Clear,GENEVA AVENUE / VINSON STREET,,,,,,235966.25659,894364.16433
3785572,BOSTON (ROSLINDALE),04-Jan-2014,8:52 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Clear,,,,,STOP SHOP ENTRANCE,,231784.20235,891962.20922
3713471,BOSTON,04-Jan-2014,10:00 AM,Property damage only (none injured),3,0,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Northbound / V2:Northbound / V3:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Clear,,Rte 93 N / UNKNOWN,,Exit 16 on Rte 93 N,,,236403.98421,897524.31204
3720511,BOSTON,04-Jan-2014,10:25 AM,Non-fatal injury,2,1,0,"Sideswipe, same direction",V1: Overtaking/passing / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Snow,Daylight,Clear,,Rte 93 N / UNKNOWN,,Exit 14 on Rte 93 N,,,237258.97956,894483.39736
3725511,BOSTON,04-Jan-2014,10:25 AM,Non-fatal injury,3,2,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Travelling straight ahead,V1:Northbound / V2:Northbound / V3:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,Rte 93 N,,Exit 14 on Rte 93 N,,,237258.97956,894483.39736
3716841,BOSTON,04-Jan-2014,11:14 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Other ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Daylight,Clear,,Rte 93 S / UNKNOWN,,,,,236903.09473,901022.04840
3713410,BOSTON,04-Jan-2014,11:50 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic,V1:Northbound / V2:Northbound / V3:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Snow,Daylight,Clear,,Rte 93 N / UNKNOWN,,Exit 15 on Rte 93 N,,,236972.24960,896473.42822
3768115,BOSTON,04-Jan-2014,1:00 PM,Property damage only (none injured),2,0,0,Angle,V1: Backing / V2:Slowing or stopped in traffic,V1:Southbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Unknown vehicle configuration,Slush,Daylight,Clear,SUDBURY STREET / CONGRESS STREET,,,,,,236378.02850,901425.99653
3711899,BOSTON,04-Jan-2014,1:01 PM,Property damage only (none injured),2,0,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Clear,,Rte 93 N,Rte 93  N Milemarker 16.8,,100 FT SOUTH OF ONEIL TUNNEL,,236447.50411,899851.49732
3711110,BOSTON,04-Jan-2014,3:04 PM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Clear,,Rte 90 E / UNKNOWN,,Exit 24 on Rte 90 E,,,236020.75290,899669.46591
3794207,BOSTON (ROXBURY),04-Jan-2014,4:51 PM,Not Reported,2,0,0,Rear-end,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,BLUE HILL AVENUE / DEVON STREET,,,,,,234496.35938,895679.25016
3713472,BOSTON,04-Jan-2014,5:10 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Making U-turn / V2:Parked,V1:Northbound / V2:Not reported ,V1: Collision with parked motor vehicle / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,1880 WILLIAM DAY BOULEVARD / EAST BROADWAY,,,@ MURPHY RINK,,239286.57007,898589.16028
3768116,BOSTON,04-Jan-2014,7:00 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with pedestrian ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Dark - lighted roadway,Clear,,17 COURT STREET,,,,P2:Pedestrian,236382.75218,901030.59833
3716578,BOSTON,04-Jan-2014,7:03 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93,,Exit 15 on Rte 93,@ EXIT #15,,236629.62530,897168.50008
3711908,BOSTON,04-Jan-2014,8:55 PM,Property damage only (none injured),2,0,0,Head-on,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Northbound ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Slush,Dark - lighted roadway,Clear,,740 MORTON STREET Rte 203,,,,,233849.67205,892677.93200
3712532,BOSTON,04-Jan-2014,11:00 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with pedestrian ,V1: Passenger car,Ice,Dark - lighted roadway,Clear,MORTON STREET / LUCERNE STREET,,,,,P3:Pedestrian,233855.99995,892682.56228
3775569,BOSTON (CHARLESTOWN),04-Jan-2014,11:30 PM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Dark - lighted roadway,Clear/Clear,BUNKER HILL STREET / PEARL STREET,,,,,,235934.39381,903308.74955
3716582,BOSTON,04-Jan-2014,11:49 PM,Property damage only (none injured),3,0,0,Rear-end,V1: Parked / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Westbound / V2:Westbound / V3:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with parked motor vehicle ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car / V3:Passenger car",Snow,Dark - lighted roadway,Not Reported,,740 MORTON STREET Rte 203 / LUCERNE STREET,,,,"P3:Other non-motorist (wheelchair, etc.)",233855.99996,892682.56227
3728436,BOSTON,05-Jan-2014,1:09 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with guardrail ,V1: Passenger car,Snow,Dark - lighted roadway,Not Reported,,ENNEKING PARKWAY Rte UNKNOW / SMITH FIELD ROAD,,,,,230079.59393,889809.25002
3712314,BOSTON,05-Jan-2014,1:46 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Not reported,V1:Westbound ,V1: Collision with light pole or other post/support ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Dark - lighted roadway,Cloudy,,CENTRE STREET,,,,,230945.21034,895028.55114
3711900,BOSTON,05-Jan-2014,9:09 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Other ,V1: Passenger car,Wet,Other,Clear,,RAMP-RT 90 EB TO RT 9 (STUART ST/HUNTING,,Exit 22 on Rte 90 E,,,234881.19164,899747.56297
3775579,BOSTON,05-Jan-2014,11:08 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Turning left,V1:Northbound ,V1: Collision with light pole or other post/support ,V1: Passenger car,Wet,Daylight,Clear,,181 CAMBRIDGE STREET,,,,,235797.63241,901283.60436
3717841,BOSTON,05-Jan-2014,12:49 PM,Non-fatal injury,2,1,0,Angle,V1: Turning left / V2:Travelling straight ahead,V1:Northbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Not Reported,CHARLESGATE EAST / COMMONWEALTH AVENUE,,,,,,233649.97320,899935.85227
3764831,BOSTON (DORCHESTER),05-Jan-2014,9:00 PM,Non-fatal injury,2,1,0,Unknown,V1: Travelling straight ahead / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Not reported",Wet,Dark - lighted roadway,Clear/Clear,,818 WILLIAM T MORRISSEY BOULEVARD,,,BOSTON BOWL,,237343.54051,893863.57088
