Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
2889038,BOSTON,03-Jan-2012,6:30 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Parked / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Tractor/semi-trailer / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dawn,Clear,,Rte 93 S,Rte 93  S Milemarker 15.0,Exit 15 on Rte 93 S,SOUTH BAY,,236220.5271,897754.1319
2885381,BOSTON,03-Jan-2012,6:35 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with median barrier ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,Rte 93 S,,Exit 24 on Rte 93 S,,,236397.1934,901565.6513
2868138,BOSTON,03-Jan-2012,8:43 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Not reported,V1:Southbound / V2:Southbound / V3:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Not reported ,V1: Passenger car / V2:Passenger car / V3:Not reported,Dry,Daylight,Clear,,Rte 93 S,,,,,236729.8045,901281.4851
2868139,BOSTON,03-Jan-2012,8:43 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,Rte 93 S,,,,,236729.8045,901281.4851
2853120,BOSTON,03-Jan-2012,9:30 AM,Non-fatal injury,2,1,0,Single vehicle crash,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,COLUMBIA ROAD / RAMP - RT 93 NB TO COLUMBIA RD,,,,,,236856.5944,896870.7883
2973016,BOSTON,03-Jan-2012,3:22 PM,Non-fatal injury,4,2,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Parked / V4:Parked,V1:Not reported / V2:Not reported / V3:Not reported / V4:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Not reported / V3:Passenger car / V4:Passenger car,Dry,Daylight,Clear,MILK STREET / KILBY STREET / OLIVER STREET,,,,,,236654.4486,900841.5624
2853118,BOSTON,03-Jan-2012,5:20 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,JAMAICAWAY / ELIOT STREET / POND STREET,,,,J-WAY @ RT9,,231358.6406,895992.0627
2856861,BOSTON,03-Jan-2012,6:00 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with curb ,V1: Passenger car,Wet,Dark - unknown roadway lighting,Cloudy/Rain,,VETERANS OF FOREIGN WARS PARKWAY / WEST ROXBURY VFW PARKWAY ROTARY,,,,,229244.3438,894033.7502
2853116,BOSTON,03-Jan-2012,6:18 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,EMBANKMENT ROAD Rte 28 N,,,"STORROW E/B, RAMP SN TOWARDS LEV",,235510.9766,901789.7371
2893949,BOSTON,03-Jan-2012,11:19 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 28 on Rte 93 N,,,234921.8759,903234.5322
2887426,BOSTON,04-Jan-2012,5:52 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dawn,Clear,,Rte 93 N,,Exit 15 on Rte 93 N,,,236950.4904,896542.4881
2855642,BOSTON,04-Jan-2012,7:20 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Turning right,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,10 feet W from Intersection EAST BOSTON EXPRESSWAY / SUMNER TOLL PLAZA,,,TOLL PLAZA,,238178.0493,902667.864
2845783,BOSTON,04-Jan-2012,7:29 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,Rte 93 S,,Exit 15 on Rte 93 S,ON RAMP FROM EXIT 15 TO RTE 93 S,,236629.625,897168.5001
2854031,BOSTON,04-Jan-2012,10:30 AM,Non-fatal injury,2,1,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Single-unit truck (3-or-more axles),Dry,Daylight,Clear,,Rte 93,Rte 93  Milemarker 16.0,Exit 16 on Rte 93,,,236126.7354,899275.5786
2853119,BOSTON,04-Jan-2012,1:15 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Entering traffic lane,V1:Westbound ,V1: Collision with light pole or other post/support ,V1: Passenger car,Dry,Daylight,Clear,,CHARLES STREET CIRCLE,,,,,235385.419,901294.6172
2967578,BOSTON (WEST ROXBURY),04-Jan-2012,1:50 PM,Unknown,1,0,0,Not reported,V1: Making U-turn,V1:Eastbound ,"V1: Collision with other fixed object (wall, building, tunnel, etc.) ",V1: Not reported,Not reported,Not reported,Not Reported,GROVE STREET / BIRCHWOOD STREET,,,,,,228371.8748,889710.9373
2867072,BOSTON,04-Jan-2012,2:07 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Turning right,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,JAMAICAWAY / 220 WILLOW POND ROAD,,,,,231761.922,897172.3747
2853121,BOSTON,04-Jan-2012,2:15 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Not Reported,,Rte 93 N,,Exit 13 on Rte 93 N,,,237394.3258,894142.3175
2853122,BOSTON,04-Jan-2012,5:25 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Changing lanes,V1:Southbound ,V1: Collision with curb ,V1: Passenger car,Dry,Dark - lighted roadway,Not Reported,,OLD COLONY AVENUE / OCALLAGHAN WAY,,,,,236891.6126,897193.1266
3207358,BOSTON,04-Jan-2012,5:32 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,BRIGHTON AVENUE / 85,,,,,230532.2103,900303.6466
2853123,BOSTON,04-Jan-2012,6:25 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Not Reported,,Rte 93 S,,Exit 15 on Rte 93 S,,,236629.625,897168.5001
2854035,BOSTON,04-Jan-2012,7:00 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 24 on Rte 93 S,,,236397.1934,901565.6513
2963458,BOSTON (ROXBURY),04-Jan-2012,9:00 PM,Not Reported,2,0,0,Not reported,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Not reported,Not reported,Not reported,Not Reported,DUDLEY STREET / HARRISON AVENUE,,,,,,234390.0625,897652.5627
2853124,BOSTON,05-Jan-2012,7:14 AM,Non-fatal injury,2,2,0,Angle,V1: Travelling straight ahead / V2:Entering traffic lane,V1:Westbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Not Reported,,COLUMBIA ROAD / BUTTONWOOD STREET,,,,,236609.5872,896844.6625
2964893,BOSTON (ROXBURY),05-Jan-2012,7:50 AM,Non-fatal injury,2,4,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,CENTRE STREET / CEDAR STREET / FORT AVENUE,,,,,,233325.5936,897543.4375
2934986,BOSTON (ROSLINDALE),05-Jan-2012,10:51 AM,Not Reported,2,0,0,Not reported,V1: Travelling straight ahead / V2:Turning left,V1:Westbound / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Not reported,Not reported,Not Reported,SOUTH STREET / AINSWORTH STREET,,,,,,229711.7342,893085.9998
2969036,BOSTON,05-Jan-2012,1:05 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Turning right,V1:Westbound ,V1: Collision with pedestrian ,V1: Truck/trailer,Wet,Daylight,Clear/Clear,BEACH STREET / WASHINGTON STREET,,,,,,236021.4804,900214.5119
2998567,BOSTON,05-Jan-2012,3:20 PM,Non-fatal injury,2,2,0,Single vehicle crash,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,CHESTNUT HILL AVENUE / UNION STREET,,,,,,228586.7944,899582.4904
2967576,BOSTON,05-Jan-2012,4:40 PM,Not Reported,1,0,0,Not reported,V1: Not reported,V1:Not reported ,V1: Not reported ,V1: Passenger car,Not reported,Not reported,Not Reported,AVENUE DE LAFAYETTE / HARRISON AVENUE,,,,,P2:Pedestrian,236139.5266,900423.9547
3381408,BOSTON,05-Jan-2012,5:08 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,AUSTIN STREET / NEW RUTHERFORD AVENUE,,,GILMORE BRIDGE,,235602.315,902717.8967
2853125,BOSTON,05-Jan-2012,5:11 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Dark - lighted roadway,Clear,,WILLIAM T MORRISSEY BOULEVARD / NEPONSET AVENUE,,,,,237665.3127,892945.4374
2878731,BOSTON (ROSLINDALE),05-Jan-2012,7:00 PM,Non-fatal injury,2,1,0,"Sideswipe, same direction",V1: Backing / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Bus (seats for more than 15 people, including driver)",Dry,Dark - lighted roadway,Clear,,625 HYDE PARK AVENUE Rte 32 N,,,,,231412.8362,892123.8167
3386753,BOSTON,05-Jan-2012,7:30 PM,Non-fatal injury,2,4,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,Rte 93 S / SOUTHBOUND FRONTAGE ROAD,,,,HAGGERTY BRIDGE,,236397.8357,897503.8646
2964891,BOSTON,05-Jan-2012,8:50 PM,Non-fatal injury,2,3,0,Angle,V1: Turning left / V2:Travelling straight ahead,V1:Southbound / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Dark - lighted roadway,Clear/Clear,DORCHESTER AVENUE / CENTRE STREET,,,,,,236112.4065,893779
3381409,BOSTON,05-Jan-2012,9:55 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Turning right / V2:Turning right,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,STORROW DRIVE Rte 28 N / RAMP TO CHARLES CIRCLE,,,,CHARLES ST. CIRCLE,,235254.3907,901130.5454
2875679,BOSTON,05-Jan-2012,11:15 PM,Non-fatal injury,2,1,0,Angle,V1: Travelling straight ahead / V2:Turning left,V1:Northbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Cloudy,,VETERANS OF FOREIGN WARS PARKWAY / BOSTON PROVIDENCE HIGHWAY,,,MCDONALDS,,227383.3639,890497.6647
2867064,BOSTON,06-Jan-2012,1:22 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with work zone maintenance equipment ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 26 on Rte 93 S,,,234851.4112,903728.5149
2855572,BOSTON,06-Jan-2012,7:32 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Daylight,Clear,,Rte 93 S,,Exit 23 on Rte 93 S,,,236856.2793,901152.8252
2894070,BOSTON,06-Jan-2012,8:24 AM,Property damage only (none injured),2,0,0,Angle,V1: Changing lanes / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Cloudy,,Rte 93 S,,Exit 20 on Rte 93 S,,,236954.209,900826.9442
2967621,BOSTON,06-Jan-2012,1:20 PM,Non-fatal injury,1,1,0,Angle,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with pedestrian ,V1: Passenger car,Dry,Daylight,Cloudy,MILK STREET / KILBY STREET,,,,,"P2:Pedalcyclist (bicycle, tricycle, unicycle, pedal car)",236654.4486,900841.5624
2853934,BOSTON,06-Jan-2012,3:54 PM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Bus (seats for more than 15 people, including driver)",Dry,Daylight,Clear,,153 CENTRE STREET,,,FAULKNER HOSPITAL,,233242.2169,897344.7149
2869620,BOSTON,06-Jan-2012,5:58 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Not Reported,,STORROW DRIVE / RAMP - STORROW DRIVE TO BEACON STREET,,,STORROW DRIVE EB @ TUNNEL (ARLIN,,235107.7285,900687.093
2856388,BOSTON,06-Jan-2012,6:49 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Dry,Dark - roadway not lighted,Clear,,VETERANS OF FOREIGN WARS PARKWAY / WEST ROXBURY VFW PARKWAY ROTARY,,,,,229244.3438,894033.7502
3007856,BOSTON,06-Jan-2012,7:30 PM,Unknown,2,0,0,Angle,V1: Turning left / V2:Travelling straight ahead,V1:Westbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Not reported,Dry,Dark - lighted roadway,Clear/Clear,SUMMER STREET / D STREET,,,,,,237728.4951,899633.9545
2855643,BOSTON,07-Jan-2012,3:02 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 23 on Rte 93 N,,,236935.489,901011.4131
2949215,BOSTON,07-Jan-2012,8:40 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Turning left / V2:Changing lanes,V1:Northbound / V2:Northbound ,V1: Not reported / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,CENTRAL PARKING ACCESS ROAD / AIRPORT ROAD - DEPARTURE LEVEL,,,,,,239518.3948,902039.7663
2998569,BOSTON (ALLSTON),07-Jan-2012,10:00 AM,Property damage only (none injured),2,0,0,Angle,V1: Turning left / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,COMMONWEALTH AVENUE / PLEASANT ST COURT,,,,,,,
2861490,BOSTON,07-Jan-2012,2:28 PM,Non-fatal injury,2,1,0,Angle,V1: Turning left / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,UNNAMED ROAD / WILLIAM T MORRISSEY BOULEVARD,,,,RAMADA INN,,237332.3438,893875.4373
2868145,BOSTON,07-Jan-2012,4:51 PM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Dark - lighted roadway,Cloudy,,Rte 93 S,,Exit 15 on Rte 93 S,NORTH HOV BUILDING,,236629.625,897168.5001
